"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example"
232,【票】,piào,n.,ticket,我要去火车站买车～。
233,【妻子】,qīzi,n.,wife,我～上班去了。
234,【起床】,qǐchuáng,v.,rise (from bed); get up,我早上七点～。
235,【千】,qiān,num.,thousand,这个手机一～元。
236,【铅笔】,qiānbǐ,n.,pencil,你看见我的～了吗？
237,【晴】,qíng,adj.,fine; clear,今天是～天。
238,【去年】,qùnián,n.,last year,我是～8 月来北京的。
239,【让】,ràng,v.,let; allow; make; ask,他爸爸不～他来。
239,【让】,ràng,v,transfer the ownership to,他把座位～给了一位老人。
240,【日】,rì,n.,day or date,今天是 2012 年 2 月 26～。
241,【上班】,shàngbān,v.,go to work; start work,我七点半去～。
242,【身体】,shēntǐ,n.,body (of a human or animal),今天我的～不太舒服。
243,【生病】,shēngbìng,v.,fall sick;fall ill; get ill; be taken ill,我～了，不能去上班了。
244,【生日】,shēngrì,n.,birthday,祝你～快乐！
245,【时间】,shíjiān,n.,time,我没～去北京。
246,【事情】,shìqing,n.,"matter; business; circumstance; event;
affair; incident; occurrence",你下午有什么～吗？
247,【手表】,shǒubiǎo,n.,wrist watch; watch,这块～非常漂亮。
248,【手机】,shǒujī,n.,mobile phone,你看，我新买了一个～。
249,【送】,sòng,v.,give sb. sth. as a gift,我～你一本书。
249,【送】,sòng,v.,"see sb off; escort or provide transportation
for sb.",我去～一个朋友。
250,【虽然……但是……】,suīrán…dànshì…,conj.,though;but; however,～下雨了，～我们还是想去看电影。
251,【它】,tā,pron.,it; its,我知道小猫在哪儿，～在桌子下面。
252,【踢足球】,tī zúqiú,pron.,play soccer,我和同学们在～。
253,【题】,tí,n.,"questions, problems (in a test or a quiz)",这个～我不会做。
254,【跳舞】,tiàowǔ,sv.,dance,妹妹会唱歌，也会～。
255,【外】,wài,n.,outer; outside,～面下雨了。
255,【外】,wài,n.,"not of one's own family, clan, class,
coterie, locality, school, etc.",那些学生是～校的。
256,【完】,wán,v.,indicating finished; be used up; run out,这本书我看～了。
257,【玩】,wán,v.,play,他在～，没有学习。
258,【晚上】,wǎnshang,n.,evening,今天～我不能看电视了。
259,【为什么】,wèi shénme,n.,why,你～不喝点儿水呢？
260,【问】,wèn,v.,ask; inquire after,老师，我可以～你一个问题吗？
261,【问题】,wèntí,n.,question; problem,这个～太难了！
262,【西瓜】,xīguā,n.,watermelon,请吃块儿～。
263,【希望】,xīwàng,v.,hope; wish; want; be desirous of,我～你别走了。
263,【希望】,xīwàng,n.,hope; wish,孩子是爸爸、妈妈的～。
264,【洗】,xǐ,v.,wash,今天我要～很多衣服。
264,【洗】,xǐ,v.,develope and print (a picture),照片要三天才能～出来。
265,【小时】,xiǎoshí,n.,hour,我看了一～的书。
266,【笑】,xiào,v.,laugh; smile,听到他这么说，我们都～了。
267,【新】,xīn,adj.,new; up-to-date,这是我买的～衣服。
268,【姓】,xìng,n.,surname,中国人的～在名字的前面。
268,【姓】,xìng,v.,take … as surname,我～张。
269,【休息】,xiūxi,v.,relax; have a rest; take a break,太累了，让我～一下。
270,【雪】,xuě,n.,snow,今年冬天下了几次大～。
271,【颜色】,yánsè,n.,color,你喜欢哪种～？
272,【眼睛】,yǎnjing,n.,eye,我的～是黑色的。
273,【羊肉】,yángròu,n.,mutton,有些人不爱吃～。
274,【药】,yào,n.,medicine,这个～一天吃三次。
275,【要】,yào,aux.,hope; want; wish,我～去北京。
275,【要】,yào,v.,request; ask sb. to do sth..,妈妈～我去买菜。
275,【要】,yào,aux.,ought to; might; must; should,你～认真地做这件事。
275,【要】,yào,aux.,be going to; shall; will,～下雨了。
275,【要】,yào,v.,cost; take,一斤菜～两块钱。
276,【也】,yě,adv.,also; too; as well; either,你去，我～去。
277,【一下】,yíxià,vm.,once; in a short while,请等我～。
278,【一起】,yìqǐ,adv.,together,我和你～去北京。
279,【已经】,yǐjīng,adv.,already; yet,我们～吃完饭了。
280,【意思】,yìsi,n.,meaning; content; indication; hint,这个词是什么～？
280,【意思】,yìsi,n.,opinion; idea; concept,把你的～告诉我吧。
280,【意思】,yìsi,n.,fun; interest; enjoyment,这个电影真有～。
281,【因为……所以……】,yīnwèi…suǒyǐ…,conj.,on account of; because of,～下雨了，～我没去跑步。
282,【阴】,yīn,adj.,cloudy; overcast,今天是～天。
283,【游泳】,yóuyǒng,v.,swim,我会～了。
284,【右边】,yòubian,n.,right; right side,王医生～那个人是谁？
285,【鱼】,yú,n.,fish,水里有很多～。
286,【远】,yuǎn,adj.,far,我家离公司很～。
287,【运动】,yùndòng,v.,take exercise,我们都很喜欢～。
288,【再】,zài,adv.,again,我吃完饭～去商店。
288,【再】,zài,adv.,more; further,～高点儿，现在太低了。
289,【早上】,zǎoshang,n.,morning,我～看见过他。
290,【丈夫】,zhàngfu,n.,husband,我～在医院工作。
291,【找】,zhǎo,v.,seek; look for,他想～一个工作。
292,【着】,zhe,sa.,"used after a verb, indicating that the action
starts and continues",他笑～说：“你不认识我，但是我认识你。”
293,【真】,zhēn,adv.,indeed; really,这个人～高。
294,【正在】,zhèngzài,adv.,"be + verb + ing; in the process of; in the
course of; in the middle of; in the act of",弟弟～打篮球。
295,【知道】,zhīdào,v.,know; be aware of,我不～他现在在哪里。
296,【准备】,zhǔnbèi,v.,be going to; intend; plan; prepare,我～星期日去北京。
296,【准备】,zhǔnbèi,n.,preparation; arrangement,我在为考试做～。
297,【自行车】,zìxíngchē,n.,bicycle,这是我新买的～。
298,【走】,zǒu,v.,walk; go on foot,我女儿 9 个月就会～了。
298,【走】,zǒu,v.,leave; go away; depart,我～了，再见！
299,【最】,zuì,adv.,the most,她是我～好的朋友。
300,【左边】,zuǒbian,n.,left; left side,～的那个杯子是你的，右边的是我的。
301,【阿姨】,āyí,n.,aunt,～，附近有地铁站吗？
302,【啊】,a,int.,"used to express surprise,exclamation or promise","～，这儿的环境多么好啊！你们家住在哪儿～？
～，好的，我现在就去。"
303,【矮】,ǎi,adj.,"short, low",弟弟的个子比我～。
304,【爱好】,àihào,n.,hobby; an interest; fancy,我最大的～就是打篮球。
304,【爱好】,àihào,v.,be fond of or keen on; have a taste for,我从小就～音乐。
305,【安静】,ānjìng,adj.,noiseless; quiet; calm,因为教室里没什么人，所以很～。
305,【安静】,ānjìng,v.,quiet down; keep silent,孩子们都睡着了，家里～了下来。
306,【把】,bǎ,prep.,"dealing with, used before an object,
followed by a transitive verb",请～桌子上的铅笔给我。
306,【把】,bǎ,nm.,used for things with a handle,房间里有四～椅子。
307,【班】,bān,n.,class,我在三年级二～。
