"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example"
319,【比赛】,bǐsài,v.,compete,我们～跑步吧。
320,【笔记本】,bǐjìběn,n.,notebook,老师讲的内容，我都写在～上了。
320,【笔记本】,bǐjìběn,n.,laptop,你看，这是我新买的～。
321,【必须】,bìxū,adv.,must; have to,我今天～去上班。
322,【变化】,biànhuà,n.,change; variation,十年不见，他好像没什么～。
322,【变化】,biànhuà,v.,change; vary,城市～得太快了。
323,【别人】,biéren,pron.,other people; another person,～都走了，为什么你还在这里？
324,【宾馆】,bīnguǎn,n.,hotel,这是我们这儿最大的～，可以住 300 个客人。
325,【冰箱】,bīngxiāng,n.,refrigerator,妈妈把刚买的鱼放进了～。
326,【不但……而且……】,"búdàn…
érqiě…",conj.,moreover; not only… but also…,妹妹～喜欢唱歌，～爱跳舞。
327,【才】,cái,adv.,"late, indicating just happened",他 30 岁～读完大学。
327,【才】,cái,adv.,just; only (indicating only one solution),这件事，只有他～能做好。
328,【菜单】,càidān,n.,menu,服务员，请帮我拿一下～。
329,【参加】,cānjiā,v.,join; take part in; attend,这次会议有两百多人～。
330,【草】,cǎo,n.,grass; straw,春天来了，小～绿了。
331,【层】,céng,nm.,"layer, floor, etc.( used for things that have
separate levels)",我住在三～，306。
332,【差】,chà,adj.,bad; poor,我这次考试考得很～。
332,【差】,chà,v.,fall short of; owe,现在是～5 分 12 点。
333,【长】,cháng,adj,long,姐姐的头发又黑又～。
334,【超市】,chāoshì,n.,supermarket,这家～里的东西比较便宜。
335,【衬衫】,chènshān,n.,shirt,今天我穿这件～。
336,【成绩】,chéngjì,n.,score,我们可以在网上查到考试～。
337,【城市】,chéngshì,n.,city,我已经喜欢上了这个～。
338,【迟到】,chídào,v.,be late,对不起，我今天又～了。
339,【出现】,chūxiàn,v.,"come out , happen; show up; appear",我们等了他一个小时，他也没有～。我们工作中～了不少问题。
340,【除了】,chúle,prep.,except (for); besides; in addition to,～小王，其他人都来了。
341,【船】,chuán,n.,boat; ship,你可以坐～去上海。
342,【春】,chūn,n.,spring (one of the four seasons),～天是一年的开始。
343,【词典】,cídiǎn,n.,dictionary,这本～对我的学习很有帮助。
344,【聪明】,cōngming,adj.,bright; clever; intelligent,弟弟不但很～，而且很爱学习。
345,【打扫】,dǎsǎo,v.,clean; sweep,我准备周末把房间～一下。
346,【打算】,dǎsuàn,v.,be going to do sth.; plan to,我～下个星期去旅游。
346,【打算】,dǎsuàn,n.,plan,我还没有结婚的～。
347,【带】,dài,v.,carry; take; bring; bear,我今天忘记～钱包了。
348,【担心】,dānxīn,v.,worry; be anxious; feel concerned,爷爷住院了，我很～。
349,【蛋糕】,dàngāo,n.,cake,你饿了吗？先吃块～吧。
350,【当然】,dāngrán,adv..,of course; naturally; certainly,你生病了，我～要来看看你。
351,【灯】,dēng,n.,lamp,房间里的～怎么不亮了？
352,【地】,de,sa.,marker of adverbial,天慢慢～黑了。
353,【地方】,dìfang,n.,place,这个～我来过三次了。
354,【地铁】,dìtiě,n.,subway,我们先坐三站～，再走一会儿就到了。
355,【地图】,dìtú,n.,map,我的手机上有电子～。
356,【电梯】,diàntī,n.,elevator,我们坐～上去吧。
357,【电子邮件】,diànzǐyóujiàn,n.,email,我晚上再给你发个～。
358,【东】,dōng,n.,east,你一直向～走就到了。
359,【冬】,dōng,n.,winter,北方的～天很冷。
360,【动物园】,dòngwùyuán,n.,zoo,～里有一百多种动物。
361,【短】,duǎn,adj.,short,这件事在～时间内很难做完。
362,【段】,duàn,nm.,"passage, paragraph (of an article); period
(of time); section (of a distance)",这～时间我很忙。
363,【锻炼】,duànliàn,v.,do physical training; to take exercise,我每天早上都去～身体。
364,【多么】,duōme,adv.,"how (wonderful, etc.)",这里～漂亮啊！
365,【饿】,è,adj.,hungry,我～了，想吃点东西。
366,【耳朵】,ěrduo,n.,ear,我的～有点疼，要去医院看看。
367,【发】,fā,v.,send,你给我～电子邮件了吗？
368,【发烧】,fāshāo,v.,have a fever,我身体不舒服，～了。
369,【发现】,fāxiàn,v.,find out; discover,我～他瘦了很多。
370,【方便】,fāngbiàn,adj.,convenient,我坐地铁去上班很～。
371,【放】,fàng,v.,put; place,把书～在桌子上吧。
372,【放心】,fàngxīn,v.,be assured,请～，我会把事情办好的。
373,【分】,fēn,num.,minute,现在 8 点 30～。
373,【分】,fēn,n.,mark; grade; score,这次考试，我得了 85～。
373,【分】,fēn,v.,split; separate,这个苹果被～成了两块儿。
374,【附近】,fùjìn,n.,nearby; neighbour; vicinity; proximity,他家就住在公司～。
375,【复习】,fùxí,v.,review,考试前要好好地～。
376,【干净】,gānjìng,adj.,clean,我把衣服洗～了。
377,【感冒】,gǎnmào,v.,have/catch a cold,我～了，要吃点儿药。
378,【感兴趣】,gǎnxìngqù,v.,interest; taste,小王对音乐很～。
379,【刚才】,gāngcái,n.,a moment ago; just now,～是谁来的电话？
380,【个子】,gèzi,n.,height,哥哥比我～高。
381,【根据】,gēnjù,prep.,on the basis of; according to,请～这篇文章谈一谈自己的想法。
381,【根据】,gēnjù,n.,basis; cause; foundation,他这么说，是有～的。
382,【跟】,gēn,v.,follow,散步的时候，小狗一直～在我身后。
382,【跟】,gēn,prep.,with,姐姐～妈妈一起去公园了。
383,【更】,gèng,adv.,more,他比我～喜欢游泳。
384,【公斤】,gōngjīn,nm.,kilogram,我买了一～鸡蛋。
385,【公园】,gōngyuán,n.,park,我家附近有个～，我常去那里散步。
386,【故事】,gùshi,n.,story,睡觉前，我都给女儿讲～。
387,【刮风】,guāfēng,n.,blow (of wind),今天～了，别骑自行车了。
388,【关】,guān,v.,close; turn off,"他～上了门。
我把电视～了。"
389,【关系】,guānxì,n.,relation; relationship,这件事和她没有～。
390,【关心】,guānxīn,v.,care for; be concerned for,爸爸很～我的学习。
390,【关心】,guānxīn,n.,concern; consideration,谢谢你的～，我的身体好多了。
391,【关于】,guānyú,prep.,with regard to,～这个问题，我们还要再想一想。
392,【国家】,guójiā,n.,country,我爱旅游，去过几十个～。
393,【过】,guò,v.,live; pass,今天我～生日，朋友们都来了。
393,【过】,guò,v.,spend the time; pass the time,时间～得真快，要过春节了。
394,【过去】,guòqù,n.,in the past,奶奶经常给我讲～的事情。
395,【还是】,háishì,adv.,still; all the same,我～在北京，没去其他地方。
395,【还是】,háishì,adv.,had better,你～吃点儿水果吧，别喝啤酒了。
395,【还是】,háishì,adv.,or,你是开车去～坐公共汽车去？
396,【害怕】,hàipà,v.,be afraid; be frightened,我～一个人晚上出门。
397,【航班】,hángbān,n.,flight; scheduled flight,各位顾客，欢迎您乘坐我们的～。
398,【黑板】,hēibǎn,n.,blackboard,请大家看～。
399,【后来】,hòulái,adv.,later; afterwards,～我再也没见过他。
400,【护照】,hùzhào,n.,passport,你的～办好了吗？
401,【花】,huā,v.,spend,今天我～了不少钱。
402,【花】,huā,n.,flower,今天是妈妈的生日，我们送一些～给她吧。
403,【画】,huà,v.,draw; paint,我从小就喜欢～画儿。
403,【画】,huà,n.,picture; drawing; painting,他的～儿很受大家欢迎。
404,【坏】,huài,adj.,bad; evil,面包很新鲜，没有～。
404,【坏】,huài,int.,terrible; badly,～了，我忘记带护照了。
405,【还】,huán,v.,return sth to the owner,我把书～给图书馆了。
406,【环境】,huánjìng,n.,environment; condition; circumstance,这里的～很不错，在这里住很舒服。
407,【换】,huàn,v.,change,你等我一下，我去～件衣服。
407,【换】,huàn,v.,exchange money,我去银行～点儿钱。
408,【黄河】,Huánghé,n.,the Yellow River,～是中国的第二大河。
409,【会议】,huìyì,n.,meeting,我们下午有个～。
410,【或者】,huòzhě,conj.,or,你去，～我去，都可以。
411,【几乎】,jīhū,adv.,nearly; almost,我感动得～要流泪了。
412,【机会】,jīhuì,n.,chance; opportunity,我希望有～参加比赛。
413,【极】,jí,adv.,extremely; exceedingly,"他对音乐～感兴趣。
今天的节目好看～了。"
414,【记得】,jìde,v.,remember; learn by heart,我不～他住在哪儿了。
415,【季节】,jìjié,n.,season,一年有四个～。
416,【检查】,jiǎnchá,v.,inspect; check; examine,你去医院～一下身体吧。
417,【简单】,jiǎndān,adj.,easy; simple,这些题对他来说很～。
418,【见面】,jiànmiàn,v.,meet,上次和他～，已经是去年了。
419,【健康】,jiànkāng,adj.,healthy,爸爸的身体特别～。
420,【讲】,jiǎng,v.,speak; tell,李老师的课～得很有趣。
421,【降落】,jiàngluò,v.,descend; land,飞机马上就要～了。
422,【角】,jiǎo,nm.,tenth of one Yuan (money),桌子上有五～钱。
422,【角】,jiǎo,n.,corner,房间的一～放了很多书。
423,【脚】,jiǎo,n.,foot,妹妹～上穿着漂亮的红皮鞋。
424,【教】,jiāo,v.,teach,李老师～我们数学。
425,【接】,jiē,v.,accept; receive,下午我去机场～你。
425,【接】,jiē,v.,go on,他看了看表，躺下～着睡觉。
426,【街道】,jiēdào,n.,street,这条～很长，有四千多米。
427,【节目】,jiémù,n.,show; performance; program,今天我们一共演出 12 个～。
428,【节日】,jiérì,n.,holiday; festival,祝大家～快乐！
429,【结婚】,jiéhūn,v.,get married,我们～10 年了。
430,【结束】,jiéshù,v.,stop; finish; end; terminate,会议马上就要～了。
431,【解决】,jiějué,v.,solve or resolve a problem or an issue,这个问题你打算怎么～？
432,【借】,jiè,v.,borrow; lend,我从图书馆～了三本书。
433,【经常】,jīngcháng,adv.,often,我～在学校遇到他。
434,【经过】,jīngguò,v.,pass through / by,上下班的时候，我都要～这条街道。
434,【经过】,jīngguò,prep.,through; under,～你这么一说，我终于明白了。
435,【经理】,jīnglǐ,n.,manager,他是我们公司的～。
436,【久】,jiǔ,adj.,old; for a long time,这个问题我想了很～才明白。
437,【旧】,jiù,adj.,old; worn,这件衣服穿了两年，已经～了。
438,【句子】,jùzi,n.,sentence,请用这些词语说几个～。
439,【决定】,juédìng,v.,decide; determine,这件事是经理～的。
439,【决定】,juédìng,n.,decision; determination; resolution,他已经做出了～。
440,【可爱】,kě’ài,adj.,cute; lovable; likeable,你的儿子真～。
441,【渴】,kě,adj.,thirsty,我～了，想喝点儿水。
442,【刻】,kè,n.,quarter of an hour; 15 minutes,现在是三点一～。
443,【客人】,kèrén,n.,guest,春节的时候，家里会来很多～。
444,【空调】,kōngtiáo,n.,air conditioner,太热了，请把～打开。
445,【口】,kǒu,nm.,used for people and some animals,我们家一共三～人。
445,【口】,kǒu,n.,mouth,想学好外语，要多开～说。
446,【哭】,kū,v.,cry; weep,孩子又～了起来。
447,【裤子】,kùzi,n.,trousers; pants,这条～有点儿短。
448,【筷子】,kuàizi,n.,chopsticks,我来中国 1 个月了，已经会用～了。
449,【蓝】,lán,adj.,blue,这条～裙子你喜欢吗？
450,【老】,lǎo,adj.,aged; old,爷爷六十岁了，但是看起来一点儿也不～。
451,【离开】,líkāi,v.,"leave; to be away from; part from;
separate from",下个月我要～一段时间，你好好照顾自己。
452,【礼物】,lǐwù,n.,present; gift,过生日的时候，我收到了很多～。
453,【历史】,lìshǐ,n.,history,这个房子差不多有 300 年的～了。
454,【脸】,liǎn,n.,face,女儿的～圆圆的，很可爱。
455,【练习】,liànxí,v.,practice,学过的东西，要多～才能记住。
455,【练习】,liànxí,n.,exercise,同学们，下面我们开始做～。
456,【辆】,liàng,nm.,used for automobiles,这～车，是我新买的。
457,【聊天】,liáotiān,sv.,chat,我们经常在网上～。
458,【了解】,liǎojiě,v.,know; understand; comprehend,我对她～得不多。
459,【邻居】,línjū,n.,neighbor,我跟～们的关系非常好。
460,【留学】,liúxué,v.,study in a foreign country,我哥哥在中国～。
461,【楼】,lóu,n.,building,我在你家～下等你。
462,【绿】,lǜ,adj.,green,春天来了，树和草都～了。
463,【马】,mǎ,n.,horse,我们学会骑～了。
464,【马上】,mǎshàng,adv.,immediately; at once,我～就到学校，你再等我几分钟。
465,【满意】,mǎnyì,v.,be satisfied,经理对他很～。
466,【帽子】,màozi,n.,hat; cap,这个～太小了，有大一点儿的吗？
467,【米】,mǐ,nm.,meter,这张桌子有两～长。
468,【面包】,miànbāo,n.,bread,～已经卖完了。
469,【面条】,miàntiáo,n.,noodle,服务员，我要一碗～。
470,【明白】,míngbai,v.,know; understand,我～你的意思了。
470,【明白】,míngbai,adj.,plain; explicit; clear,他说得很～，我懂了。
471,【拿】,ná,v.,hold; take,你手里～的是什么？
472,【奶奶】,nǎinai,n.,grandmother,我～住在北京。
473,【南】,nán,n.,south,我家在火车站的～边。
474,【难】,nán,adj.,difficult; hard,这个题很～。
475,【难过】,nánguò,v.,have a hard time,他要离开了，我很～。
476,【年级】,niánjí,n.,"grade (in the primary or middle school);
year (in college or university)",我儿子现在上三～。
477,【年轻】,niánqīng,adj.,young,妈妈 50 岁了，看起来还很～。
478,【鸟】,niǎo,n.,bird,树上有很多～在唱歌。
479,【努力】,nǔlì,adj.,hard-working; diligent,学生们学习很～。
480,【爬 ft】,páshān,v.,climb mountains,我们决定明天去～。
481,【盘子】,pánzi,n.,tray; plate; dish,～里有鱼，请吃吧。
482,【胖】,pàng,adj,fat,熊猫很～，很可爱。
482,【胖】,pàng,v.,get fat,这个月我～了五斤多。
483,【皮鞋】,píxié,n.,leather shoes,他穿着一双黑色的～。
484,【啤酒】,píjiǔ,n.,beer,爸爸爱喝～。
485,【普通话】,pǔtōnghuà,n.,Mandarin Chinese,你的～说得很好。
486,【其实】,qíshí,adv.,actually; in fact; as a matter of fact,我～不太了解他。
487,【其他】,qítā,pron.,other; else,只有小明在教室里，～人都回家了。
488,【奇怪】,qíguài,adj.,odd; queer; strange; unusual; peculiar,我觉得这个问题很～。
489,【骑】,qí,v.,"ride (an animal or bicycle); sit on the back
of",今天我～自行车去学校。
490,【起飞】,qǐfēi,v.,(of aircraft) take off; lift off; launch,各位乘客，飞机马上就要～了。
491,【清楚】,qīngchu,adj.,clear; distinct,他把这件事儿说得很～了。
491,【清楚】,qīngchu,v.,be clear about; understand,你～这句话的意思吗？
492,【秋】,qiū,n.,fall; autumn,～天最舒服，不冷也不热。
493,【裙子】,qúnzi,n.,skirt,姐姐穿着漂亮的～。
494,【然后】,ránhòu,conj.,then; after that; afterwards,我要先写完作业，～再看电视。
495,【热情】,rèqíng,adj.,fervent; warm,我们～地欢迎客人。
496,【认为】,rènwéi,v.,think; consider,你～他会来吗？
497,【认真】,rènzhēn,adj.,conscientious; earnest; serious,这个同学学习很～，很努力。
498,【容易】,róngyì,adj.,easy; ready,这个问题很～回答。
499,【如果】,rúguǒ,conj.,if; in case; in the event of; supposing that,～你去，我就和你一起去。
500,【伞】,sǎn,n.,umbrella,下雨了，别忘了带～。
501,【上网】,shàngwǎng,v.,get online,我～去看看新闻。
502,【生气】,shēngqì,v.,take offence; be/get angry; be offended,请别～，是我错了，对不起。
503,【声音】,shēngyīn,n.,sound; voice,你听，这是什么～？
504,【世界】,shìjiè,n.,"the world; the earth; the globe; the
universe",～上有很多国家。
505,【试】,shì,v.,try,我想～一下那件红色的。
506,【瘦】,shòu,adj.,thin; emaciated; lean,姐姐现在很～，只有 45 公斤。
506,【瘦】,shòu,v.,become thin,这个月我～了三斤。
507,【叔叔】,shūshu,n.,"uncle (referring to a man younger than
one’s father)",～，你喜欢这本书吗？
508,【舒服】,shūfu,adj.,pleased; comfortable,坐在这里，真～。
509,【树】,shù,n.,tree,我们学校里有很多～。
510,【数学】,shùxué,n.,mathematics,我的～成绩很好。
511,【刷牙】,shuāyá,v.,clean one's teeth; brush one's teeth,睡觉前要～。
512,【双】,shuāng,nm.,pair; couple,我今天想去买～鞋。
513,【水平】,shuǐpíng,n.,"standard; level (of skill, ability and
knowledge, etc.)",他的汉语～很高。
514,【司机】,sījī,n.,driver,这位～开出租车 5 年多了。
515,【太阳】,tàiyáng,n.,the Sun,你看，～出来了。
516,【特别】,tèbié,adv.,very; exceptionally; particularly; specially,我～想跟你一起去。
516,【特别】,tèbié,adj,"special; unusual; particular; out of the
ordinary",这个菜的做法很～。
517,【疼】,téng,adj.,ache; hurt,我的腿有点儿～。
518,【提高】,tígāo,v.,"lift; raise; heighten; enhance; increase;
improve; advance",你数学成绩～了不少。
518,【提高】,tígāo,n.,development; increase,人们的生活水平有了很大的～。
519,【体育】,tǐyù,n.,sports; sports activities,我很喜欢～运动。
520,【甜】,tián,adj.,sweet,这个西瓜真～啊！
521,【条】,tiáo,nm.,used for long and slender things,这～裤子有点儿长。
522,【同事】,tóngshì,n.,colleague,这是我们的新～，李华。
523,【同意】,tóngyì,v.,"agree; approve; assent to; consent to;
accede to",我不太～他的想法。
524,【头发】,tóufa,n.,hair,妈妈的～又黑又亮。
525,【突然】,tūrán,adj.,sudden; abrupt; unexpected,他～站了起来。
525,【突然】,tūrán,adv.,suddenly; abruptly; unexpectedly,小狗～跑了出来。
526,【图书馆】,túshūguǎn,n.,library,我从～借来了两本书。
527,【腿】,tuǐ,n.,leg,你的～还疼吗？
528,【完成】,wánchéng,v.,"accomplish; complete; finish; achieve;
fulfill",这件事，在周末前必须～。
529,【碗】,wǎn,n.,bowl,把米饭放在这个～里吧。
529,【碗】,wǎn,nm.,a bowl of,我吃一～就可以了。
530,【万】,wàn,num.,ten thousand,我们学校有一～名学生。
531,【忘记】,wàngjì,v.,"forget; erase; drop (or fade, slip) from
memory; go out of one's mind",我～今天是他的生日了。
532,【为】,wèi,prep.,for,这些菜都是～你准备的。
533,【为了】,wèile,prep.,for,～身体健康，我每天都去运动。
534,【位】,wèi,nm.,used for people,他真是一～好老师。
535,【文化】,wénhuà,n.,culture; civilization,我对中国～很感兴趣。
536,【西】,xī,n.,west,火车站在～边，你走错了。
537,【习惯】,xíguàn,v.,be accustomed to; be/get used to,他已经～了一个人生活。
537,【习惯】,xíguàn,n.,habit; custom; usual practice,饭前洗手是好～。
538,【洗手间】,xǐshǒujiān,n.,toilet; washroom; bathroom,我去一下～。
539,【洗澡】,xǐzǎo,v.,take a bath; bathe; take a shower,太热了，我先去～。
540,【夏】,xià,n.,summer,今年～天太热了。
541,【先】,xiān,adv.,first,你～去，我一个小时后再去。
542,【相信】,xiāngxìn,v.,"believe in; be convinced of; have faith in;
place reliance on; put one's trust in",我完全～你说的话。
543,【香蕉】,xiāngjiāo,n.,banana,你想吃～吗？
544,【向】,xiàng,prep.,to; towards,～东走，就可以看到那个学校了。
545,【像】,xiàng,v.,look alike,他长得～他爸爸。
545,【像】,xiàng,prep.,for example,～校长这样的人，到哪里都很受欢迎。
546,【小心】,xiǎoxīn,v.,take care; look out,请～，路上有很多水。
546,【小心】,xiǎoxīn,adj.,careful,我很～地抱起了小猫。
547,【校长】,xiàozhǎng,n.,"(of a secondary or elementary school)
principal; headmaster; (of a university or college) president; chancellor",～已经同意了我们的计划。
548,【新闻】,xīnwén,n.,news,我每天晚上七点都看～。
549,【新鲜】,xīnxiān,adj.,fresh,这些都是～水果。
550,【信用卡】,xìnyòngkǎ,n.,credit card,我想去银行办一张～。
551,【行李箱】,xínglixiāng,n.,trunk; baggage,请把～打开。
552,【熊猫】,xióngmāo,n.,panda,我特别喜欢到动物园去看大～。
553,【需要】,xūyào,v.,need; claim; demand; want,我们～一些帮助。
554,【选择】,xuǎnzé,v.,choose; select; pick,今年夏天你～去哪儿旅游？
554,【选择】,xuǎnzé,n.,a choice; selection; option,我们需要自己做出～。
555,【要求】,yāoqiú,v.,ask; request; demand,老师～我们把这些题做完。
555,【要求】,yāoqiú,n.,request; demand; need,这是爸爸对我的～。
556,【爷爷】,yéye,n.,"grandfather, also used as a title of respect
for an old man",～，请您坐这儿吧。
557,【一定】,yídìng,adv.,surely; certainly; necessarily,明天的会议，请大家～要参加。
557,【一定】,yídìng,adj,fixed; specified; regular; certain,他的汉语已经有～水平了。
558,【一共】,yígòng,adv.,altogether; in all; all told,我们班～有 20 名学生。
559,【一会儿】,yíhuìr,adv.,a moment,我看～电视就睡觉。
560,【一样】,yíyàng,adj.,the same,他跟爸爸长得～。
561,【一般】,yìbān,adv.,usually; generally; habitually; ordinarily,我～7 点钟起床。
562,【一边】,yìbiān,adv.,"while; as; at the same time;
simultaneously",他喜欢～看书，～听音乐。
563,【一直】,yìzhí,adv.,all the time,我～不明白这句话的意思。
564,【以前】,yǐqián,adv.,"before (a point of time); back; ago;
previously; formerly",我们看电影～，先去吃个饭吧。
565,【音乐】,yīnyuè,n.,music,她最喜欢看～节目。
566,【银行】,yínháng,n.,bank,～下午 5 点关门。
567,【饮料】,yǐnliào,n.,beverage; drink,冰箱里还有～吗？
568,【应该】,yīnggāi,aux.,should; have to; ought to; must,8 点了，～去上班了。
569,【影响】,yǐngxiǎng,v.,influence; affect; concern; work upon,请不要～别人休息。
569,【影响】,yǐngxiǎng,n.,influence; effect,环境对人有很大的～。
570,【用】,yòng,v.,use,我～了两个小时打扫房间。
571,【游戏】,yóuxì,n.,game; play; recreation,这是孩子们最喜欢玩儿的～。
572,【有名】,yǒumíng,adj.,famous,这本书很～。
573,【又】,yòu,adv.,again; once more,我们休息了一会儿，～开始工作了。
574,【遇到】,yùdào,v.,meet,刚才我在街上～了张先生。
575,【元】,yuán,nm.,RMB Yuan,这块手表 600～。
576,【愿意】,yuànyì,aux.,be willing; wish; like; want,他很～帮助别人。
577,【月亮】,yuèliang,n.,the Moon,今晚的～真圆！
578,【越】,yuè,adv.,the more…the more…,他～说～高兴。
579,【站】,zhàn,v.,stand,爸爸～在我的身边。
579,【站】,zhàn,nm.,distance between two bus stops,去火车站，坐地铁 3～就到了。
580,【张】,zhāng,nm.,"used for paper, bed, table,face, etc.",请给我一～纸。
580,【张】,zhāng,v.,open up,小女孩儿～开嘴，笑了。
581,【照顾】,zhàogù,v.,look after; take care,我生病了，妈妈一直～我。
581,【照顾】,zhàogù,n.,consideration; concern; care,这些年，他给了我们很多～。
582,【照片】,zhàopiàn,n.,photo,这是我小时候的～。
583,【照相机】,zhàoxiàngjī,n.,camera,我新买了一个～。
584,【只】,zhī,nm.,"one of a pair; for animals, furnitures, boats
or ships","我有一～鞋找不到了。
树上有一～小猫。"
585,【只】,zhǐ,adv.,only; merely; just,房间里～有我一个人。
586,【中间】,zhōngjiān,n.,center; middle,我站在～，旁边的是我的同学。
587,【中文】,Zhōngwén,n.,Chinese language,我会用～写文章。
588,【终于】,zhōngyú,adv.,at last; finally,春天～来了。
589,【种】,zhǒng,nm.,kind; sort; type,超市里有很多～新鲜水果。
590,【重要】,zhòngyào,adj.,important,我忘了一件～的事情。
591,【周末】,zhōumò,n.,weekend,这个～你有什么安排？
592,【主要】,zhǔyào,adj.,major; main,这本书～讲了些什么？
593,【注意】,zhùyì,v.,"pay attention to; to keep an eye on; take
notice of",请～安全。
594,【着急】,zháojí,v.,worry; feel anxious,遇到事情，不要～。
595,【自己】,zìjǐ,pron.,oneself; self; one's own,我喜欢～一个人旅游。
596,【总是】,zǒngshì,adv.,always,他～很早起床。
597,【嘴】,zuǐ,n.,mouth,妹妹的～边有一粒米。
598,【最近】,zuìjìn,adv.,recently; of late; lately,我～很忙。
599,【作业】,zuòyè,n.,school assignment; study assignment,今天的～你写完了吗？
600,【作用】,zuòyòng,n.,an effect; an influence,这种感冒药对我没什么～。
601,【爱情】,àiqíng,n.,love (between a man and a woman),这是一个感人的～故事。
602,【安排】,ānpái,v.,plan in detail; arrange,下午的会议，我已经～好了。
602,【安排】,ānpái,n.,plan to do sth,他的～让大家都很满意。
603,【安全】,ānquán,adj.,safe,晚上开车要注意～。
603,【安全】,ānquán,n.,safety,请放心，我们会保证您的～。
604,【按时】,ànshí,adv.,on time; on schedule; punctually,我～完成了任务。
605,【按照】,ànzhào,prep.,according to,请～要求把报告改一下。
606,【百分之】,bǎifēnzhī,prep.,percent,任务完成～八十了。
607,【棒】,bàng,adj,great; good; excellent,你的字写得真～！
608,【包子】,bāozi,n.,steamed stuffed bun,这家饭馆儿的～味道非常好。
609,【保护】,bǎohù,v.,protect,人们应该～环境。
610,【保证】,bǎozhèng,v.,guarantee; ensure; promise,我～，以后不迟到了。
610,【保证】,bǎozhèng,n.,guarantee,努力是取得成功的～。
611,【报名】,bàomíng,sv.,"give your name, age, etc. in order to participate in an activity or organization;
enroll;sign up",你想～参加运动会吗？
612,【抱】,bào,v.,hold sb or sth with one's arm(s); embrace,他把孩子～了起来。
613,【抱歉】,bàoqiàn,v.,be sorry; feel apologetic; regret,非常～，让您等了这么久。
614,【倍】,bèi,nm.,times (of the original number or quantity),我们学校的留学生比去年多了一～。
615,【本来】,běnlái,adv.,originally,我～要去看演出，但是突然有事儿不能去了。
616,【笨】,bèn,adj.,dull; foolish; stupid,你并不～，只是需要更努力。
617,【比如】,bǐrú,v.,take sth for example,我有很多爱好，～游泳和读书。
618,【毕业】,bìyè,sv.,graduate,我今年上大三，明年～。
619,【遍】,biàn,vm.,number of times,这篇文章，我读了很多～。
620,【标准】,biāozhǔn,n.,standard; criterion,你选男友的～太高了。
620,【标准】,biāozhǔn,adj.,conforming to a standard,你的普通话说得很～。
621,【表格】,biǎogé,n.,form; table; list,请在～里填上您的姓名。
622,【表示】,biǎoshì,v.,express; convey,他～愿意继续在公司工作。
623,【表演】,biǎoyǎn,v.,act; perform; play,你们要～什么节目？
623,【表演】,biǎoyǎn,n.,exhibition; show; program; performance,今天的～太精彩了！
624,【表扬】,biǎoyáng,v.,praise,小明喜欢帮助别人，老师～了他。
624,【表扬】,biǎoyáng,n.,praise; recognition,他经常得到校长的～。
625,【饼干】,bǐnggān,n.,cracker; cookie; biscuit,我买了～，吃点儿吧。
626,【并且】,bìngqiě,conj.,further more; besides,她很聪明，～很努力。
627,【博士】,bóshì,n.,doctor (an academic degree),我来介绍一下，这位是李～。
628,【不过】,búguò,conj.,but; however,他很优秀，～不符合公司的招聘条件。
629,【不得不】,bùdébù,conj.,must; have to,任务还没完成，所以周末我们～加班。
630,【不管】,bùguǎn,conj.,no matter; whether or not,～天怎么样，我都要爬 ft。
631,【不好意思】,bùhǎoyìsi,conj.,feel shy or sorry,大家都看着他，他有点儿～了。
632,【不仅】,bùjǐn,conj.,not only,我～去过那个城市，而且去过很多次。
633,【部分】,bùfen,n.,part; section; portion,这本小说由四～组成。
634,【擦】,cā,v.,rub or wipe in order to clean,我已经把窗户～干净了。
635,【猜】,cāi,v.,guess,你～我给你准备了什么生日礼物？
636,【材料】,cáiliào,n.,reference material,报名需要什么～？
637,【参观】,cānguān,v.,visit for learning,学校组织大家去长城～。
638,【餐厅】,cāntīng,n.,restaurant,学校附近新开了一家～。
639,【厕所】,cèsuǒ,n.,toilet; bathroom; washroom,男～在一层。
640,【差不多】,chàbuduō,adv.,about; nearly,我每天～7 点起床。
641,【长城】,Chángchéng,n.,the Great Wall,我想周末去参观～。
642,【长江】,Chángjiāng,n.,the Yangtze River,～是中国的第一大河。
643,【尝】,cháng,v.,taste,快来～～我做的菜，味道怎么样？
644,【场】,chǎng,vm.,used for activities,今年下午有～足球比赛。
645,【超过】,chāoguò,v.,leave behind; outstrip,每天有～三百个航班在这里起飞。
646,【吵】,chǎo,adj.,noisy,外面太～了，我睡不着。
646,【吵】,chǎo,v.,quarrel,他和朋友～了，所以很不高兴。
647,【成功】,chénggōng,v.,succeed,太好了，我们终于～了。
647,【成功】,chénggōng,n.,success,经过努力，我们取得了～。
648,【成为】,chéngwéi,v.,become,几年不见，她现在已经～了一名医生。
649,【诚实】,chéngshí,adj.,honest,～的人值得我们尊重。
650,【乘坐】,chéngzuò,v.,"take a ride (in a car, ship, etc.)",欢迎您～本次航班。
651,【吃惊】,chījīng,sv.,"feel afraid suddenly; be startled; be
shocked; be astonished; be taken aback",这个消息非常令人～。
652,【重新】,chóngxīn,adv.,once again,他把事情～说了一遍。
653,【抽烟】,chōuyān,adv.,smoke a cigarette,对不起，医院里不能～。
654,【出差】,chūchāi,sv.,be on a business trip,爸爸已经～一个多月了。
