Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
ben,1,ben1,Yes,锛,adz  / adze; to hurry  / to rush  / to run quickly  / to elope; surname Ben
ben,2,ben2,No,,
ben,3,ben3,Yes,本,"(bound form) root; stem  / (bound form) origin; source  / (bound form) one&#039;s own; this  / (bound form) this; the current (year etc)  / (bound form) original  / (bound form) inherent  / originally; initially  / capital; principal  / classifier for books, periodicals, files etc; benzene  / benzol (chemistry); a basket or pan used for earth, manure etc"
ben,4,ben4,Yes,笨,stupid  / foolish  / silly  / slow-witted  / clumsy; to go to  / to head for  / towards  / Taiwan pr. [ben1]; variant of 奔
beng,1,beng1,Yes,绷,to draw tight; to stretch taut  / to tack (with thread or pin)  / (bound form) embroidery hoop  / (bound form) woven bed mat; variant of 繃｜绷  / variant of 繃｜绷; to collapse  / to fall into ruins  / death of king or emperor  / demise
beng,2,beng2,Yes,甭,need not; please don&#039;t (contracted form of 不用); old variant of 甭  / need not
beng,3,beng3,Yes,绷,to have a taut face; used in 塕埲  / (Cantonese) classifier for walls; gem ornament of scabbard
beng,4,beng4,Yes,蹦,"to jump; to bounce; to hop; pump (loanword); abbr. for Bengbu prefecture-level City 蚌埠市, Anhui"
bi,1,bi1,Yes,逼,variant of 逼  / to compel  / to pressure; to force (sb to do sth)  / to compel  / to press for  / to extort  / to press on towards  / to press up to  / to close in on  / euphemistic variant of 屄; euphemistic variant of 屄
bi,2,bi2,Yes,鼻,nose; used in 荸薺｜荸荠
bi,3,bi3,Yes,比,"to compare  / (followed by a noun and adjective) more {adj.} than {noun}  / ratio  / to gesture  / (Taiwan pr. [bi4] in some compounds derived from Classical Chinese); pen  / pencil  / writing brush  / to write or compose  / the strokes of Chinese characters  / classifier for sums of money, deals  / CL: 支, 枝; Belgium  / Belgian  / abbr. for 比利時｜比利时"
bi,4,bi4,Yes,避,to avoid  / to shun  / to flee  / to escape  / to keep away from  / to leave  / to hide from; certainly  / must  / will  / necessarily; to close  / to stop up  / to shut  / to obstruct
bian,1,bian1,Yes,边,"side  / edge  / margin  / border  / boundary  / CL: 個｜个 / simultaneously; to weave  / to plait  / to organize  / to group  / to arrange  / to edit  / to compile  / to write  / to compose  / to fabricate  / to make up; whip or lash  / to flog  / to whip  / conductor&#039;s baton  / segmented iron weapon (old)  / penis (of animal, served as food)"
bian,2,bian2,No,,
bian,3,bian3,Yes,扁,flat  / (coll.) to beat (sb) up  / old variant of 匾; horizontal rectangular inscribed tablet hung over a door or on a wall  / shallow round woven bamboo basket; to diminish  / to demote  / to reduce or devaluate  / to disparage  / to censure  / to depreciate
bian,4,bian4,Yes,遍,everywhere  / all over  / classifier for actions: one time; variant of 遍; to change  / to become different  / to transform  / to vary  / rebellion
biao,1,biao1,Yes,标,"mark  / sign  / label  / to mark with a symbol, label, lettering etc  / to bear (a brand name, registration number etc)  / prize  / award  / bid  / target  / quota  / (old) the topmost branches of a tree  / visible symptom  / classifier for military units; (literary) very strong wind; gale  / (bound form) wild; violent; unrestrained; furious; (literary) tiger stripes; (by extension) ornate and brightly colored; (by synecdoche) young tiger; (fig.) strong; stalwart  / (old) classifier for troops"
biao,2,biao2,Yes,嫑,(dialect) don&#039;t  / must not  / (contraction of 不 and 要)
biao,3,biao3,Yes,表,exterior surface  / family relationship via females  / to show (one&#039;s opinion)  / a model  / a table (listing information)  / a form  / a meter (measuring sth); watch (timepiece)  / meter; gauge; prostitute
biao,4,biao4,Yes,俵,(literary) to distribute  / Taiwan pr. [biao3]; swim bladder  / air bladder of fish; to bind tightly  / to link (arms)  / to hang around with; to stick close to (sb)  / to compete  / (literary) to hit; to beat
bie,1,bie1,Yes,憋,to choke  / to stifle  / to restrain  / to hold back  / to hold in (urine)  / to hold (one&#039;s breath); softshell turtle; variant of 鱉｜鳖
bie,2,bie2,Yes,别,"to leave; to part (from)  / (literary) to differentiate; to distinguish  / (dialect) to turn away; to turn aside; to avert (one&#039;s face, gaze etc)  / (bound form) other; another; different  / don&#039;t ...!  / to fasten with a pin or clip  / to stick in; to insert (in order to hinder movement)  / (noun suffix) category (as in 性別｜性别, 派別｜派别); surname Bie; to limp  / to sprain (an ankle or wrist)  / to move carefully, as if evading a danger  / to scurry"
bie,3,bie3,Yes,瘪,deflated  / shriveled  / sunken  / empty; variant of 癟｜瘪
bie,4,bie4,Yes,别,"to make sb change their ways, opinions etc"
bin,1,bin1,Yes,宾,"visitor  / guest  / object (in grammar); urbane; well-bred; cultivated; (bound form) water&#039;s edge; bank; shore  / (bound form) to border on (a lake, river etc)"
bin,2,bin2,No,,
bin,3,bin3,No,,
bin,4,bin4,Yes,鬓,temples  / hair on the temples; a funeral  / to encoffin a corpse  / to carry to burial; old variant of 鬢｜鬓
bing,1,bing1,Yes,冰,ice  / CL: 塊｜块 / to chill sth  / (of an object or substance) to feel cold  / (of a person) cold  / unfriendly  / (slang) methamphetamine; soldiers  / a force  / an army  / weapons  / arms  / military  / warlike  / CL: 個｜个; variant of 冰
bing,2,bing2,No,,
bing,3,bing3,Yes,饼,"round flat cake  / cookie  / cake  / pastry  / CL: 張｜张; third of the ten Heavenly Stems 十天干  / third in order  / letter &quot;C&quot; or Roman &quot;III&quot; in list &quot;A, B, C&quot;, or &quot;I, II, III&quot; etc  / ancient Chinese compass point: 165°  / propyl; to get rid of  / to put aside  / to reject  / to keep control  / to hold (one&#039;s breath)"
bing,4,bing4,Yes,病,illness  / CL: 場｜场 / disease  / to fall ill  / defect; and  / furthermore  / also  / together with  / (not) at all  / simultaneously  / to combine  / to join  / to merge; to combine  / to amalgamate
bo,1,bo1,Yes,播,"(bound form) to sow (seeds); to spread (ideas, rumors etc); to broadcast (radio signals etc)  / Taiwan pr. [bo4]; to push aside with the hand, foot, a stick etc  / to dial  / to allocate  / to set aside (money)  / to poke (the fire)  / to pluck (a string instrument)  / to turn round  / classifier: group, batch; (bound form) Poland (abbr. for 波蘭｜波兰)  / surname Bo"
bo,2,bo2,Yes,伯,"father&#039;s elder brother  / senior  / paternal elder uncle  / eldest of brothers  / respectful form of address  / Count, third of five orders of nobility 五等爵位; (used for transcribing names); (bound form) abundant; plentiful; extensive; wide  / to win; to gain  / to play; to gamble  / learned; well-read  / (bound form) doctoral degree (abbr. for 博士)  / (bound form) blog (abbr. for 博客)"
bo,3,bo3,Yes,跛,to limp  / lame  / crippled; to winnow; to toss up and down
