Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
me,1,me1,No,,
me,2,me2,No,,
me,3,me3,No,,
me,4,me4,No,,
mei,1,mei1,No,,
mei,2,mei2,Yes,没,"(negative prefix for verbs) have not; not; coal  / CL: 塊｜块; classifier for small objects: coins, badges, rings, carved seals, chess pieces, eggs, fingerprints etc (more formal than 個｜个)  / classifier for bombs, missiles, satellites etc  / (on product packaging) classifier for flat items (from Japanese 枚 &quot;mai&quot;)  / (old) stick used as a gag to prevent soldiers from talking while sneaking up on the enemy"
mei,3,mei3,No,,
mei,4,mei4,Yes,妹,younger sister; demon  / magic  / to charm; (bound form) to flatter  / (bound form) charming
men,1,men1,Yes,闷,stuffy  / shut indoors  / to smother  / to cover tightly
men,2,men2,Yes,门,"gate  / door  / CL: 扇 / gateway  / doorway  / CL: 個｜个 / opening  / valve  / switch  / way to do something  / knack  / family  / house  / (religious) sect  / school (of thought)  / class  / category  / phylum or division (taxonomy)  / classifier for large guns  / classifier for lessons, subjects, branches of technology  / (suffix) -gate (i.e. scandal; derived from Watergate); surname Men; lay hands on  / to cover"
men,3,men3,No,,
men,4,men4,Yes,闷,bored  / depressed  / melancholy  / sealed  / airtight  / tightly closed; to cook in a covered vessel  / to casserole  / to stew; melancholy
meng,1,meng1,Yes,蒙,to deceive  / to cheat  / to hoodwink  / to make a wild guess; (knocked) unconscious  / dazed  / stunned
meng,2,meng2,Yes,蒙,(literary) sincere; honest; genuine; drizzle  / mist; blind  / dim-sighted
meng,3,meng3,Yes,猛,ferocious  / fierce  / violent  / brave  / suddenly  / abrupt  / (slang) awesome; manganese (chemistry); stupid
meng,4,meng4,Yes,梦,"dream (CL:場｜场,個｜个)  / (bound form) to dream; surname Meng; first month of a season  / eldest amongst brothers"
mi,1,mi1,No,,
mi,2,mi2,Yes,迷,to bewilder  / crazy about  / fan  / enthusiast  / lost  / confused; riddle; ether
mi,3,mi3,Yes,米,uncooked rice  / meter (unit of length)  / (slang) Chinese yuan; surname Mi; extravagant  / go with fashion  / not
mi,4,mi4,Yes,密,dense; close; thick  / intimate; close  / (bound form) secret; confidential  / (Internet slang) to send a private message to (sb); to DM; honey; (math.) power; exponent  / to cover with a cloth  / cloth cover; veil
mian,1,mian1,No,,
mian,2,mian2,Yes,棉,"generic term for cotton or kapok  / cotton  / padded or quilted with cotton; &quot;roof&quot; radical (Kangxi radical 40), occurring in 家, 定, 安 etc, referred to as 寶蓋｜宝盖; silk floss  / continuous  / soft  / weak  / mild-mannered (dialect)"
mian,3,mian3,Yes,免,to excuse sb  / to exempt  / to remove or dismiss from office  / to avoid  / to avert  / to escape  / to be prohibited; crown in the form of a horizontal board with hanging decorations  / imperial crown; to exhort  / to make an effort
mian,4,mian4,Yes,面,"face  / side  / surface  / aspect  / top  / classifier for objects with flat surfaces such as drums, mirrors, flags etc; flour  / noodles  / (of food) soft (not crunchy)  / (slang) (of a person) ineffectual  / spineless; variant of 麵｜面"
miao,1,miao1,Yes,喵,(onom.) meow  / cat&#039;s mewing
miao,2,miao2,No,,
miao,3,miao3,Yes,秒,second (unit of time)  / arc second (angular measurement unit)  / (coll.) instantly; a flood  / infinity; profound  / remote
miao,4,miao4,Yes,妙,clever  / wonderful; variant of 妙; temple  / ancestral shrine  / CL: 座 / temple fair  / great imperial hall  / imperial
mie,1,mie1,Yes,咩,the bleating of sheep  / final particle which transforms statements into questions that indicate doubt or surprise (Cantonese); used in 乜斜  / (Cantonese) what?; old variant of 咩
mie,2,mie2,No,,
mie,3,mie3,No,,
mie,4,mie4,Yes,灭,to extinguish or put out  / to go out (of a fire etc)  / to exterminate or wipe out  / to drown; to belittle  / nothing; defiled with blood
min,1,min1,No,,
min,2,min2,Yes,民,"surname Min; (bound form) the people  / inhabitants of a country; alabaster, jade-like stone"
min,3,min3,Yes,闽,short name for Fujian province 福建  / also pr. [Min2]; surname Min; (bound form) quick; nimble; agile  / (bound form) quick-witted; smart
min,4,min4,No,,
ming,1,ming1,No,,
ming,2,ming2,Yes,名,"name  / noun (part of speech)  / place (e.g. among winners)  / famous  / classifier for people; Ming Dynasty (1368-1644)  / surname Ming  / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God; bright  / opposite: dark 暗  / (of meaning) clear  / to understand  / next  / public or open  / wise  / generic term for a sacrifice to the gods"
ming,3,ming3,Yes,酩,used in 酩酊
ming,4,ming4,Yes,命,"life  / fate  / order or command  / to assign a name, title etc"
miu,1,miu1,No,,
miu,2,miu2,No,,
miu,3,miu3,No,,
miu,4,miu4,Yes,谬,(bound form) false; erroneous; absurd  / mu (Greek letter Μμ); variant of 謬｜谬
mo,1,mo1,Yes,摸,to feel with the hand  / to touch  / to stroke  / to grope  / to steal  / to abstract
mo,2,mo2,Yes,膜,membrane  / film; to rub  / to grind  / to polish  / to sharpen  / to wear down  / to die out  / to waste time  / to pester  / to insist; to rub
mo,3,mo3,Yes,抹,"to smear  / to wipe  / to erase  / classifier for wisps of cloud, light-beams etc; (Japanese kokuji) I, me (archaic)  / suffix attached to the name of a person or pet  / pr. maro"
mo,4,mo4,Yes,末,tip  / end  / final stage  / latter part  / inessential detail  / powder  / dust  / opera role of old man; ink stick  / China ink  / CL: 塊｜块 / corporal punishment consisting of tattooing characters on the victim&#039;s forehead; used in 万俟
mou,1,mou1,Yes,哞,moo (sound made by cow)
mou,2,mou2,Yes,缪,used in 綢繆｜绸缪; to plan  / to seek  / scheme; pupil (of the eye)  / eye
mou,3,mou3,Yes,某,some  / a certain  / sb or sth indefinite  / such-and-such; old variant of 某
mou,4,mou4,No,,
mu,1,mu1,No,,
mu,2,mu2,Yes,模,mold  / die  / matrix  / pattern; a type of woolen fabric made in Tibet
mu,3,mu3,Yes,母,mother  / elderly female relative  / origin  / source  / (of animals) female; old variant of 畝｜亩; old variant of 畝｜亩
mu,4,mu4,Yes,墓,grave  / tomb  / mausoleum; curtain or screen  / canopy or tent  / headquarters of a general  / act (of a play); old variant of 幕  / curtain  / screen
na,1,na1,Yes,那,surname Na; used in 南無｜南无  / Taiwan pr. [na2]
na,2,na2,Yes,拿,to hold  / to seize  / to catch  / to apprehend  / to take  / (used in the same way as 把: to mark the following noun as a direct object); old variant of 拿; variant of 拿
na,3,na3,Yes,哪,how  / which; variant of 哪; feminine suffix (Cantonese)  / postfix indicating feminine
na,4,na4,Yes,那,"(specifier) that; the; those (colloquial pr. [nei4])  / (pronoun) that (referring to persons, things or situations)  / then (in that case); surname Na; to receive  / to accept  / to enjoy  / to bring into  / to pay (tax etc)  / nano- (one billionth)  / to reinforce sole of shoes or stockings by close sewing"
nai,1,nai1,No,,
nai,2,nai2,No,,
nai,3,nai3,Yes,奶,breast  / milk  / to breastfeed; variant of 嬭｜奶; mother  / variant of 奶
nai,4,nai4,Yes,耐,"(bound form) to bear; to endure; to withstand; naphthalene C10H8; used in expressions that convey frustration and futility, such as 無奈｜无奈 and 莫可奈何 (literary)  / used for its phonetic value in writing foreign words"
nan,1,nan1,Yes,囡,child  / daughter; variant of 囡
nan,2,nan2,Yes,难,"difficult (to...)  / problem  / difficulty  / difficult  / not good; south; (bound form) male  / baron, the lowest of the five ranks of nobility 五等爵位"
nan,3,nan3,Yes,赧,blushing with shame; brisket  / belly beef  / spongy meat from cow&#039;s underside and neighboring ribs  / see 牛腩 esp. Cantonese  / erroneously translated as sirloin; stand in awe
nan,4,nan4,Yes,难,disaster  / distress  / to scold
nang,1,nang1,Yes,囊,"used in 囊膪 and 囊揣  / used in 鼓鼓囊囊; muttering, indistinct speech; a bend in a river (Cantonese)"
nang,2,nang2,Yes,囊,sack  / purse  / pocket (for money); naan
nang,3,nang3,Yes,攮,"to fend off  / to stab; in former times; muddy  / thick, muddy water"
nang,4,nang4,Yes,齉,stuffy (nose)  / nasal (voice)
nao,1,nao1,Yes,孬,(dialect) no good (contracted form of 不好)
nao,2,nao2,Yes,挠,to scratch  / to thwart  / to yield; (literary) to disturb  / (literary) to weaken; big cymbals
nao,3,nao3,Yes,脑,brain  / mind  / head  / essence; used in 瑪瑙｜玛瑙; to tease; to play around with
nao,4,nao4,Yes,闹,noisy  / cacophonous  / to make noise  / to disturb  / to vent (feelings)  / to fall ill  / to have an attack (of sickness)  / to go in (for some activity)  / to joke; variant of 鬧｜闹; surname Nao
ne,1,ne1,No,,
ne,2,ne2,Yes,哪,used in 哪吒  / Taiwan pr. [nuo2]
ne,3,ne3,No,,
ne,4,ne4,Yes,讷,to speak slowly  / inarticulate; old variant of 訥｜讷; sick  / sickness  / Kang Xi radical 104  / also pr. [chuang2]
nei,1,nei1,No,,
nei,2,nei2,No,,
nei,3,nei3,Yes,哪,"which? (interrogative, followed by classifier or numeral-classifier); (bound form) hungry; starving  / (bound form) dispirited  / (literary) (of fish) putrid"
nei,4,nei4,Yes,内,inside  / inner  / internal  / within  / interior; neon Ne (chemistry) (now written 氖)
nen,1,nen1,No,,
nen,2,nen2,No,,
nen,3,nen3,No,,
nen,4,nen4,Yes,嫩,young and tender  / (of food) tender; lightly cooked  / (of color) light  / (of a person) inexperienced; unskilled; old variant of 嫩; to think  / this  / which?  / how? (literary)  / Taiwan pr. [ren4]
neng,1,neng1,No,,
neng,2,neng2,Yes,能,can  / to be able to  / might possibly  / ability  / (physics) energy; surname Neng
neng,3,neng3,No,,
neng,4,neng4,No,,
ni,1,ni1,Yes,妮,girl  / phonetic &quot;ni&quot; (in female names)  / Taiwan pr. [ni2]
ni,2,ni2,Yes,泥,mud  / clay  / paste  / pulp; dense wool fabric (used for coats and jackets); Buddhist nun  / (often used in phonetic spellings)
ni,3,ni3,Yes,你,"you (informal, as opposed to courteous 您); you (Note: In Taiwan, 妳 is used to address females, but in mainland China, it is not commonly used. Instead, 你 is used to address both males and females.); to plan to  / to draft (a plan)  / to imitate  / to assess  / to compare  / pseudo-"
ni,4,ni4,Yes,逆,contrary  / opposite  / backwards  / to go against  / to oppose  / to betray  / to rebel; to drown  / to indulge  / addicted to  / to spoil (a child); restrained
nian,1,nian1,Yes,拈,to nip  / to grasp with the fingers  / to fiddle with  / Taiwan pr. [nian2]; to fade  / to wither  / to wilt  / listless
nian,2,nian2,Yes,年,year  / CL: 個｜个; grain  / harvest (old)  / variant of 年; sticky; glutinous  / (Tw) to adhere; to stick on; to glue
nian,3,nian3,Yes,捻,to twirl (in the fingers); (archaic) man-drawn carriage  / an imperial carriage  / to transport by carriage; stone roller  / roller and millstone  / to grind  / to crush  / to husk
nian,4,nian4,Yes,念,"to read  / to study (a subject)  / to attend (a school)  / to read aloud  / to give (sb) a tongue-lashing (CL:頓｜顿)  / to miss (sb)  / idea  / remembrance  / twenty (banker&#039;s anti-fraud numeral corresponding to 廿); variant of 念, to read aloud; earth embankment used to hold back or retain water  / dike around a paddy field"
niang,1,niang1,No,,
niang,2,niang2,Yes,娘,mother  / young lady  / (coll.) effeminate; variant of 娘; Japanese variant of 孃｜娘
niang,3,niang3,No,,
niang,4,niang4,Yes,酿,to ferment  / to brew  / to make honey (of bees)  / to lead to  / to form gradually  / wine  / stuffed vegetables (cooking method); Japanese variant of 釀｜酿
niao,1,niao1,No,,
niao,2,niao2,No,,
niao,3,niao3,Yes,鸟,"bird  / CL: 隻｜只, 群 / &quot;bird&quot; radical in Chinese characters (Kangxi radical 196)  / (dialect) to pay attention to  / (intensifier) damned  / goddamn; delicate  / graceful; delicate  / graceful"
niao,4,niao4,Yes,尿,to urinate  / urine  / CL: 泡; carbamide  / urea (NH2)2CO  / also written 尿素; variant of 尿
nie,1,nie1,Yes,捏,"to hold between the thumb and fingers  / to pinch  / to mold (using the fingers)  / to hold (lit. in one&#039;s hand and fig.)  / to join together  / to fabricate (a story, a report, etc); variant of 捏"
nie,2,nie2,Yes,苶,weary  / tired
nie,3,nie3,No,,
nie,4,nie4,Yes,聂,"surname Nie; to whisper; bones of the temple (on the human head)  / see 顳顬｜颞颥, temple"
nin,1,nin1,No,,
nin,2,nin2,Yes,您,"you (courteous, as opposed to informal 你); old variant of 您"
nin,3,nin3,No,,
nin,4,nin4,No,,
ning,1,ning1,No,,
ning,2,ning2,Yes,拧,to pinch  / wring; abbr. for Ningxia Hui Autonomous Region 寧夏回族自治區｜宁夏回族自治区  / abbr. for Nanjing 南京  / surname Ning; peaceful  / to pacify  / to visit (one&#039;s parents etc)
ning,3,ning3,Yes,拧,mistake  / to twist
ning,4,ning4,Yes,宁,would rather  / to prefer  / how (emphatic)  / Taiwan pr. [ning2]; to flatter  / flattery; old variant of 寧｜宁
niu,1,niu1,Yes,妞,girl
niu,2,niu2,Yes,牛,"ox  / cow  / bull  / CL: 條｜条, 頭｜头 / newton (abbr. for 牛頓｜牛顿)  / (slang) awesome; surname Niu"
niu,3,niu3,Yes,扭,to turn  / to twist  / to wring  / to sprain  / to swing one&#039;s hips; to turn  / to wrench  / button  / nu (Greek letter Νν); surname Niu
niu,4,niu4,Yes,拗,stubborn; perverse; contrary
nong,1,nong1,No,,
nong,2,nong2,Yes,浓,concentrated  / dense  / strong (smell etc); surname Nong; (bound form) agriculture
nong,3,nong3,No,,
nong,4,nong4,Yes,弄,to do  / to manage  / to handle  / to play with  / to fool with  / to mess with  / to fix  / to toy with; old variant of 弄; old variant of 弄
nu,1,nu1,No,,
nu,2,nu2,Yes,奴,slave; child  / offspring; (literary) inferior horse
nu,3,nu3,Yes,努,to exert  / to strive; crossbow; to pout
nu,4,nu4,Yes,怒,anger  / fury  / flourishing  / vigorous
nuan,1,nuan1,No,,
nuan,2,nuan2,No,,
nuan,3,nuan3,Yes,暖,warm  / to warm; old variant of 暖; variant of 暖
nuan,4,nuan4,No,,
nuo,1,nuo1,No,,
nuo,2,nuo2,Yes,挪,to shift  / to move; surname Nuo; (archaic) many  / beautiful  / how  / old variant of 挪
nuo,3,nuo3,Yes,㛂,graceful; frail and petite
nuo,4,nuo4,Yes,诺,to consent  / to promise  / (literary) yes!; nobelium (chemistry); glutinous rice  / sticky rice
nü,1,nü1,No,,
nü,2,nü2,No,,
nü,3,nü3,Yes,女,female  / woman  / daughter; neodymium (chemistry); cakes of rice-flour and honey
nü,4,nü4,Yes,恧,"ashamed; to bleed from the nose (or from the ears, gums etc)  / fig. to be defeated; old variant of 衄"
nüe,1,nüe1,No,,
nüe,2,nüe2,No,,
nüe,3,nüe3,No,,
nüe,4,nüe4,Yes,虐,(bound form) brutal; oppressive; harsh  / (literary) disaster; catastrophe; malaria
o,1,o1,Yes,噢,"oh; ah (used to indicate realization)  / also pr. [ou4]; (interjection) oh; I see (used to indicate realization, understanding)"
o,2,o2,Yes,哦,oh (interjection indicating doubt or surprise)
o,3,o3,Yes,嚄,(interj. of surprise)
o,4,o4,Yes,哦,oh (interjection indicating that one has just learned sth)
ou,1,ou1,Yes,区,surname Ou; Europe (abbr. for 歐洲｜欧洲)  / surname Ou; old name for Wenzhou City 溫州市｜温州市 in Zhejiang 浙江
ou,2,ou2,Yes,吽,used in 吽牙
ou,3,ou3,Yes,偶,accidental  / image  / pair  / mate; vomit; a pair  / a mate  / a couple  / to couple  / plowshare
ou,4,ou4,Yes,沤,to steep  / to macerate; to annoy  / to irritate  / to be annoyed  / to sulk
pa,1,pa1,Yes,趴,"to lie on one&#039;s stomach  / to lean forward, resting one&#039;s upper body (on a desktop etc)  / (Tw) percent; used in 派司; percent (Tw)"
pa,2,pa2,Yes,爬,to crawl  / to climb  / to get up or sit up; used in 枇杷; to rake up  / to steal  / to braise  / to crawl
pa,3,pa3,No,,
pa,4,pa4,Yes,怕,to be afraid  / to fear  / to dread  / to be unable to endure  / perhaps; to wrap  / kerchief  / handkerchief  / headscarf  / pascal (SI unit); surname Pa
pai,1,pai1,Yes,拍,to pat  / to clap  / to slap  / to swat  / to take (a photo)  / to shoot (a film)  / racket (sports)  / beat (music)
pai,2,pai2,Yes,排,"a row  / a line  / to set in order  / to arrange  / to line up  / to eliminate  / to drain  / to push open  / platoon  / raft  / classifier for lines, rows etc; signboard; plaque; plate; tablet (CL:塊｜块)  / brand; trademark (CL:個｜个)  / mahjong tile; domino; playing card (CL:張｜张)  / (bound form) fixed pattern for lyrics or set melody in classical poetry or music (used in 詞牌｜词牌 and 曲牌); used in 徘徊"
pai,3,pai3,Yes,迫,used in 迫擊炮｜迫击炮
pai,4,pai4,Yes,派,"(literary) tributary; branch of a river  / clique; school; group; faction  / (bound form) style; manner  / to send (a person or resource); to dispatch; to allocate (a resource or task); to appoint (sb)  / classifier for factions, groups etc  / (preceded by 一) classifier used in characterizing a scene, atmosphere, demeanor, sound, remark etc  / (loanword) pi (Greek letter Ππ); the circular ratio 𝜋 = 3.14159...  / (loanword) pie; used in transliteration; used in 澎湃"
pan,1,pan1,Yes,攀,"to climb (by pulling oneself up)  / to implicate  / to claim connections of higher status; surname Pan; surname Pan  / Pan, faun in Greek mythology, son of Hermes"
pan,2,pan2,Yes,盘,"tray; plate; dish  / (finance) (bound form) market prices  / (computing) (bound form) disk  / to coil (a rope, pigtail etc)  / to check; to examine; to investigate  / to transfer; to sell (property)  / to shift; to move (sth big and heavy)  / classifier for things resembling a plate or dish  / classifier for coils  / classifier for games or matches (chess, table tennis etc); healthy  / at ease; see 般樂｜般乐"
pan,3,pan3,No,,
pan,4,pan4,Yes,判,(bound form) to differentiate; to distinguish  / (bound form) clearly (different)  / to judge; to decide; to grade  / (of a judge) to sentence; to hope for  / to long for  / to expect; to catch sight of in a doorway (old)
pang,1,pang1,Yes,雱,(literary) (of rainfall or snowfall) heavy; puffed (swollen); rushing (water)
pang,2,pang2,Yes,旁,"one side  / other  / different  / lateral component of a Chinese character (such as 刂, 亻 etc); used in 磅礡｜磅礴  / Taiwan pr. [pang1]; surname Pang"
pang,3,pang3,Yes,耪,to hoe; (dialect) to boast  / to brag  / (onom.) sound of hitting sth
pang,4,pang4,Yes,胖,fat  / plump
pao,1,pao1,Yes,抛,to throw  / to toss  / to fling  / to cast  / to abandon; puffed; swollen; spongy  / small lake (esp. in place names)  / classifier for urine or feces; used in the names of various berries
pao,2,pao2,Yes,刨,to dig  / to excavate  / (coll.) to exclude  / not to count  / to deduct  / to subtract; kitchen; (of an animal) to paw (the ground)
pao,3,pao3,Yes,跑,to run  / to run away  / to escape  / to run around (on errands etc)  / (of a gas or liquid) to leak or evaporate  / (verb complement) away  / off
pao,4,pao4,Yes,泡,bubble; foam  / blister  / to soak; to steep; to infuse  / to dawdle; to loiter  / to pick up (a girl)  / to get off with (a sexual partner)  / classifier for occurrences of an action  / classifier for number of infusions; cannon  / CL: 座 / firecracker; variant of 炮
pei,1,pei1,Yes,胚,embryo; variant of 胚; pah!  / bah!  / pooh!  / to spit (in contempt)
pei,2,pei2,Yes,赔,to compensate for loss  / to indemnify  / to suffer a financial loss; to accompany  / to keep sb company  / to assist  / old variant of 賠｜赔; surname Pei
pei,3,pei3,No,,
pei,4,pei4,Yes,配,to join  / to fit  / to mate  / to mix  / to match  / to deserve  / to make up (a prescription)  / to allocate; copious  / abundant; to respect  / to wear (belt etc)
pen,1,pen1,Yes,喷,to spout; to spurt; to spray; to puff  / (slang) to criticize scathingly (esp. online); to spurt  / to blow out  / to puff out  / to snort; old variant of 噴｜喷
pen,2,pen2,Yes,盆,"basin  / flower pot  / unit of volume equal to 12 斗 and 8 升, approx 128 liters  / CL: 個｜个; flowing of water  / name of a river"
pen,3,pen3,No,,
pen,4,pen4,Yes,喷,"(of a smell) strong  / peak season (of a crop)  / (classifier for the ordinal number of a crop, in the context of multiple harvests)"
peng,1,peng1,Yes,嘭,(onom.) bang; to boil; to brew (tea)  / to cook by briefly stir-frying and then mixing in sauce  / (old) to boil to death (judicial punishment in ancient times); (onom.) bang; thump
peng,2,peng2,Yes,痭,"menorrhagia; Peng, large fabulous bird  / roc; surname Peng"
peng,3,peng3,Yes,捧,to hold or offer with both hands  / to sing the praises of  / classifier for what can be held in both hands
peng,4,peng4,Yes,碰,to touch  / to meet with  / to bump; variant of 碰; old variant of 碰
pi,1,pi1,Yes,批,"to ascertain  / to act on  / to criticize  / to pass on  / classifier for batches, lots, military flights  / tier (for the ranking of universities and colleges); to drape over one&#039;s shoulders  / to open  / to unroll  / to split open  / to spread out; to hack  / to chop  / to split open  / (of lightning) to strike"
pi,2,pi2,Yes,皮,leather  / skin  / fur  / CL: 張｜张 / pico- (one trillionth)  / naughty; spleen; surname Pi
pi,3,pi3,Yes,匹,"(bound form) matching; comparable to  / (bound form) alone; single; one of a pair  / classifier for horses, mules etc (Taiwan pr. [pi1])  / classifier for cloth: bolt  / horsepower; variant of 匹  / classifier for cloth: bolt; clogged  / evil"
pi,4,pi4,Yes,屁,fart  / flatulence  / nonsense  / (usu. in the negative) what  / (not) a damn thing; to open (a door)  / to open up (for development)  / to dispel; to refute; to repudiate  / (bound form) penetrating; incisive; to give an example
pian,1,pian1,Yes,篇,"sheet  / piece of writing  / bound set of bamboo slips used for record keeping (old)  / classifier for written items: chapter, article; to lean  / to slant  / oblique  / prejudiced  / to deviate from average  / to stray from the intended line  / stubbornly  / contrary to expectations; disk  / sheet"
pian,2,pian2,Yes,胼,used in 胼胝; (tree); basket-couch in coffin
pian,3,pian3,Yes,谝,to brag  / Taiwan pr. [pian2]
pian,4,pian4,Yes,片,"thin piece  / flake  / a slice  / film  / TV play  / to slice  / to carve thin  / partial  / incomplete  / one-sided  / classifier for slices, tablets, tract of land, area of water  / classifier for CDs, movies, DVDs etc  / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc  / Kangxi radical 91; to cheat  / to swindle  / to deceive  / to get on (a horse etc) by swinging one leg over; used in 猵狙"
piao,1,piao1,Yes,飘,to float (in the air); to flutter; to waft  / complacent; frivolous  / weak; shaky; wobbly; variant of 飄｜飘; to float  / to drift
piao,2,piao2,Yes,嫖,"to visit a prostitute; surname Piao  / Korean surname (Park, Pak or Bak)  / also pr. [Pu2]; dipper  / ladle"
piao,3,piao3,Yes,漂,to bleach; (literary) light blue  / (literary) light blue silk fabric; white
piao,4,piao4,Yes,票,"ticket  / ballot  / banknote  / CL: 張｜张 / person held for ransom  / amateur performance of Chinese opera  / classifier for groups, batches, business transactions; used in 漂亮; white horse"
pie,1,pie1,Yes,撇,"to cast away  / to fling aside; to shoot a glance  / glance  / to appear in a flash; protium 1H  / light hydrogen, the most common isotope of hydrogen, having no neutron, so atomic weight 1"
pie,2,pie2,No,,
pie,3,pie3,Yes,撇,"to throw  / to cast  / left-slanting downward brush stroke (calligraphy); radical in Chinese characters (Kangxi radical 4), aka 撇; variant of 丿"
pie,4,pie4,No,,
pin,1,pin1,Yes,拼,to piece together; to put together  / to pool (resources etc); to share  / to risk all; to go all out  / to spell (words); variant of 拼; to be a mistress or lover
pin,2,pin2,Yes,频,frequency  / frequently  / repetitious; pearl; poor  / inadequate  / deficient  / garrulous
pin,3,pin3,Yes,品,(bound form) article; commodity; product; goods  / (bound form) grade; rank  / kind; type; variety  / character; disposition; nature; temperament  / to taste sth; to sample  / to criticize; to comment; to judge; to size up  / fret (on a guitar or lute); classifier for roof beams and trusses
pin,4,pin4,Yes,聘,"to employ; to appoint  / (bound form) to betroth  / (coll.) (of a woman) to get married; to be marrried off  / (literary) to visit another state as an envoy on a diplomatic mission  / Taiwan pr. [ping4]; (of a bird, animal or plant) female  / keyhole  / valley"
ping,1,ping1,Yes,乒,(onom.) ping  / bing; graceful; chivalrous knight
ping,2,ping2,Yes,平,flat  / level  / equal  / to tie (make the same score)  / to draw (score)  / calm  / peaceful  / abbr. for 平聲｜平声; bottle  / vase  / pitcher  / CL: 個｜个 / classifier for wine and liquids; variant of 瓶
ping,3,ping3,No,,
ping,4,ping4,No,,
po,1,po1,Yes,泼,to splash  / to spill  / rough and coarse  / brutish; slope  / CL: 個｜个 / sloping  / slanted; rather  / quite  / considerably  / oblique  / inclined  / slanting  / Taiwan pr. [po3]
po,2,po2,Yes,婆,(bound form) grandmother  / (bound form) matron  / (bound form) mother-in-law  / (slang) femme (in a lesbian relationship); surname Po; name of a lake
po,3,po3,Yes,叵,not  / thereupon; promethium (chemistry); flat basket-tray
po,4,po4,Yes,破,"broken  / damaged  / worn out  / lousy  / rotten  / to break, split or cleave  / to get rid of  / to destroy  / to break with  / to defeat  / to capture (a city etc)  / to expose the truth of; (literary) soul; mortal soul (i.e. attached to the body); Celtis sinensis var. japonica"
pou,1,pou1,Yes,剖,to cut open  / to analyze  / Taiwan pr. [pou3]
pou,2,pou2,Yes,掊,take up in both hands; take up in both hands; collect
pou,3,pou3,Yes,掊,"break up  / hit; pooh  / pah  / bah  / (today used as a phonetic component in 部, 倍, 培, 剖 etc); variant of 咅  / also pr. [tou4]"
pou,4,pou4,No,,
pu,1,pu1,Yes,扑,to throw oneself at  / to pounce on  / to devote one&#039;s energies  / to flap  / to flutter  / to dab  / to pat  / to bend over; to spread  / to display  / to set up  / (old) holder for door-knocker; (onom.) pop  / plop  / pfff  / putt-putt of a motor
pu,2,pu2,Yes,脯,chest  / breast; Portugal  / Portuguese  / abbr. for 葡萄牙; used in 葡萄
pu,3,pu3,Yes,谱,chart  / list  / table  / register  / score (music)  / spectrum (physics)  / to set to music; surname Pu; river bank  / shore  / river drainage ditch (old)
pu,4,pu4,Yes,堡,variant of 鋪｜铺  / used in place names; to air  / to sun; variant of 曝
qi,1,qi1,Yes,七,"seven  / 7; variant of 期  / period  / cycle; a period of time  / phase  / stage  / classifier for issues of a periodical, courses of study  / time  / term  / period  / to hope  / Taiwan pr. [qi2]"
qi,2,qi2,Yes,骑,"to sit astride  / to ride (a horse, bike etc)  / classifier for saddle horses; neat  / even  / level with  / identical  / simultaneous  / all together  / to even sth out; his  / her  / its  / their  / that  / such  / it (refers to sth preceding it)"
qi,3,qi3,Yes,起,"to rise  / to raise  / to get up  / to set out  / to start  / to appear  / to launch  / to initiate (action)  / to draft  / to establish  / to get (from a depot or counter)  / verb suffix, to start  / starting from (a time, place, price etc)  / classifier for occurrences or unpredictable events: case, instance  / classifier for groups: batch, group; Qi son of Yu the Great 禹, reported founder of the Xia Dynasty 夏朝 (c. 2070-c. 1600 BC); to open  / to start  / to initiate  / to enlighten or awaken  / to state  / to inform"
qi,4,qi4,Yes,气,gas; air  / smell  / weather  / to make angry; to annoy; to get angry  / vital energy; qi; device  / tool  / utensil  / CL: 臺｜台; to marry off (a daughter)
qia,1,qia1,Yes,掐,to pick (flowers)  / to pinch  / to nip  / to pinch off  / to clutch  / (slang) to fight; used in 袷袢; used in 菝葜
qia,2,qia2,Yes,拤,to grip with both hands  / to put one&#039;s hands on (one&#039;s hips)
qia,3,qia3,Yes,卡,to block  / to be stuck  / to be wedged  / customs station  / a clip  / a fastener  / a checkpost  / Taiwan pr. [ka3]
qia,4,qia4,Yes,恰,exactly  / just; ilium  / outermost bone of the pelvic girdle  / Taiwan pr. [ka4]; accord  / to make contact  / to agree  / to consult with  / extensive
qian,1,qian1,Yes,千,"thousand; used in 鞦韆｜秋千; inscribed bamboo stick (used in divination, gambling, drawing lots etc)  / small wood sliver  / label  / tag"
qian,2,qian2,Yes,钱,"coin  / money  / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两; front  / forward  / ahead  / first  / top (followed by a number)  / future  / ago  / before  / BC (e.g. 前293年)  / former  / formerly; surname Qian"
qian,3,qian3,Yes,浅,shallow  / light (color); to censure  / to reprimand; (usu. of an animal) the part of the side of the body between the ribs and the hipbone
qian,4,qian4,Yes,欠,to owe  / to lack  / (literary) to be deficient in  / (bound form) yawn  / to raise slightly (a part of one&#039;s body); luxuriant growth of bamboo; pretty  / winsome  / to ask for sb&#039;s help  / son-in-law (old)
